2025-05-14 22:24:12 [WARNING] [Safety] Low power level: 24.920287
2025-05-14 22:24:12 [ERROR] [Safety] EMERGENCY PROTOCOL TRIGGERED: System unresponsive
2025-05-14 22:24:12 [WARNING] [Safety] Emergency thrust halt initiated
2025-05-14 22:24:12 [WARNING] [Safety] Switching to low-power mode
2025-05-14 22:24:12 [WARNING] [Safety] Executing emergency fallback procedures
2025-05-14 22:24:12 [WARNING] [Safety] High temperature detected: 83.424691
2025-05-14 22:24:12 [WARNING] [Safety] Low power level: 24.914271
2025-05-14 22:24:12 [ERROR] [Safety] EMERGENCY PROTOCOL TRIGGERED: System unresponsive
2025-05-14 22:24:12 [WARNING] [Safety] Emergency thrust halt initiated
2025-05-14 22:24:12 [WARNING] [Safety] Switching to low-power mode
2025-05-14 22:24:12 [WARNING] [Safety] Executing emergency fallback procedures
2025-05-14 22:24:12 [WARNING] [Safety] High temperature detected: 83.354033
2025-05-14 22:24:12 [WARNING] [Safety] Low power level: 25.054522
2025-05-14 22:24:12 [ERROR] [Safety] EMERGENCY PROTOCOL TRIGGERED: System unresponsive
2025-05-14 22:24:12 [WARNING] [Safety] Emergency thrust halt initiated
2025-05-14 22:24:12 [WARNING] [Safety] Switching to low-power mode
2025-05-14 22:24:12 [WARNING] [Safety] Executing emergency fallback procedures
2025-05-14 22:24:12 [WARNING] [Safety] High temperature detected: 83.486597
2025-05-14 22:24:12 [WARNING] [Safety] Low power level: 24.984930
2025-05-14 22:24:12 [ERROR] [Safety] EMERGENCY PROTOCOL TRIGGERED: System unresponsive
2025-05-14 22:24:12 [WARNING] [Safety] Emergency thrust halt initiated
2025-05-14 22:24:12 [WARNING] [Safety] Switching to low-power mode
2025-05-14 22:24:12 [WARNING] [Safety] Executing emergency fallback procedures
2025-05-14 22:24:12 [WARNING] [Safety] High temperature detected: 83.371101
2025-05-14 22:24:12 [WARNING] [Safety] Low power level: 25.026284
2025-05-14 22:24:12 [ERROR] [Safety] EMERGENCY PROTOCOL TRIGGERED: System unresponsive
2025-05-14 22:24:12 [WARNING] [Safety] Emergency thrust halt initiated
2025-05-14 22:24:12 [WARNING] [Safety] Switching to low-power mode
2025-05-14 22:24:12 [WARNING] [Safety] Executing emergency fallback procedures
2025-05-14 22:24:12 [WARNING] [Safety] High temperature detected: 83.278818
2025-05-14 22:24:12 [WARNING] [Safety] Low power level: 25.011350
2025-05-14 22:24:12 [ERROR] [Safety] EMERGENCY PROTOCOL TRIGGERED: System unresponsive
2025-05-14 22:24:12 [WARNING] [Safety] Emergency thrust halt initiated
2025-05-14 22:24:12 [WARNING] [Safety] Switching to low-power mode
2025-05-14 22:24:12 [WARNING] [Safety] Executing emergency fallback procedures
2025-05-14 22:24:12 [WARNING] [Safety] High temperature detected: 83.096332
2025-05-14 22:24:12 [WARNING] [Safety] Low power level: 24.952676
2025-05-14 22:24:13 [ERROR] [Safety] EMERGENCY PROTOCOL TRIGGERED: System unresponsive
2025-05-14 22:24:13 [WARNING] [Safety] Emergency thrust halt initiated
2025-05-14 22:24:13 [WARNING] [Safety] Switching to low-power mode
2025-05-14 22:24:13 [WARNING] [Safety] Executing emergency fallback procedures
2025-05-14 22:24:13 [WARNING] [Safety] High temperature detected: 82.955533
2025-05-14 22:24:13 [WARNING] [Safety] Low power level: 25.040187
2025-05-14 22:24:13 [ERROR] [Safety] EMERGENCY PROTOCOL TRIGGERED: System unresponsive
