Body,TimeStep,X,Y,Z
3,56,1.496e+11,1.69763e+06,0
3,57,1.496e+11,1.72741e+06,0
3,58,1.496e+11,1.7572e+06,0
3,59,1.496e+11,1.78698e+06,0
3,60,1.496e+11,1.81676e+06,0
3,61,1.496e+11,1.84655e+06,0
3,62,1.496e+11,1.87633e+06,0
3,63,1.496e+11,1.90611e+06,0
3,64,1.496e+11,1.93589e+06,0
3,65,1.496e+11,1.96568e+06,0
3,66,1.496e+11,1.99546e+06,0
3,67,1.496e+11,2.02524e+06,0
3,68,1.496e+11,2.05503e+06,0
3,69,1.496e+11,2.08481e+06,0
3,70,1.496e+11,2.11459e+06,0
3,71,1.496e+11,2.14438e+06,0
3,72,1.496e+11,2.17416e+06,0
3,73,1.496e+11,2.20394e+06,0
3,74,1.496e+11,2.23372e+06,0
3,75,1.496e+11,2.26351e+06,0
3,76,1.496e+11,2.29329e+06,0
3,77,1.496e+11,2.32307e+06,0
3,78,1.496e+11,2.35286e+06,0
3,79,1.496e+11,2.38264e+06,0
3,80,1.496e+11,2.41242e+06,0
3,81,1.496e+11,2.44221e+06,0
3,82,1.496e+11,2.47199e+06,0
3,83,1.496e+11,2.50177e+06,0
3,84,1.496e+11,2.53156e+06,0
3,85,1.496e+11,2.56134e+06,0
3,86,1.496e+11,2.59112e+06,0
3,87,1.496e+11,2.6209e+06,0
3,88,1.496e+11,2.65069e+06,0
3,89,1.496e+11,2.68047e+06,0
3,90,1.496e+11,2.71025e+06,0
3,91,1.496e+11,2.74004e+06,0
3,92,1.496e+11,2.76982e+06,0
3,93,1.496e+11,2.7996e+06,0
3,94,1.496e+11,2.82938e+06,0
3,95,1.496e+11,2.85917e+06,0
3,96,1.496e+11,2.88895e+06,0
3,97,1.496e+11,2.91873e+06,0
3,98,1.496e+11,2.94852e+06,0
3,99,1.496e+11,2.9783e+06,0
4,0,2.2794e+11,8.81218e+06,0
4,1,2.2794e+11,48154,0
4,2,2.2794e+11,72231,0
4,3,2.2794e+11,96308,0
4,4,2.2794e+11,120385,0
4,5,2.2794e+11,144462,0
4,6,2.2794e+11,168539,0
4,7,2.2794e+11,192616,0
4,8,2.2794e+11,216693,0
4,9,2.2794e+11,240770,0
4,10,2.2794e+11,264847,0
4,11,2.2794e+11,288924,0
4,12,2.2794e+11,313001,0
4,13,2.2794e+11,337078,0
4,14,2.2794e+11,361155,0
4,15,2.2794e+11,385232,0
4,16,2.2794e+11,409309,0
4,17,2.2794e+11,433386,0
4,18,2.2794e+11,457463,0
4,19,2.2794e+11,481540,0
4,20,2.2794e+11,505617,0
4,21,2.2794e+11,529694,0
4,22,2.2794e+11,553771,0
4,23,2.2794e+11,577848,0
4,24,2.2794e+11,601925,0
4,25,2.2794e+11,626002,0
4,26,2.2794e+11,650079,0
4,27,2.2794e+11,674156,0
4,28,2.2794e+11,698233,0
4,29,2.2794e+11,722310,0
4,30,2.2794e+11,746387,0
4,31,2.2794e+11,770464,0
4,32,2.2794e+11,794541,0
4,33,2.2794e+11,818618,0
4,34,2.2794e+11,842695,0
4,35,2.2794e+11,866772,0
4,36,2.2794e+11,890849,0
